session_id,player_id,session_date,game_type,total_bets,total_wins,ggr,duration_minutes
S0006038,P00264,2023-07-02,Live Casino,878.18,844.23,33.95,179
S0006039,P00265,2024-10-07,Table Games,28.74,28.24,0.5,13
S0006040,P00265,2024-09-21,Table Games,7.42,7.23,0.19,63
S0006041,P00266,2024-07-13,Live Casino,154.29,150.09,4.2,130
S0006042,P00266,2024-11-11,Sports Betting,150.23,142.54,7.69,97
S0006043,P00266,2024-06-20,Sports Betting,165.02,141.58,23.44,118
S0006044,P00266,2024-10-09,Sports Betting,187.37,186.66,0.71,93
S0006045,P00266,2024-10-21,Sports Betting,106.34,110.05,-3.71,165
S0006046,P00266,2024-08-07,Live Casino,142.27,135.55,6.72,31
S0006047,P00267,2024-03-26,Slots,49.56,47.18,2.38,164
S0006048,P00268,2024-08-13,Sports Betting,116.48,116.97,-0.49,116
S0006049,P00268,2023-10-11,Sports Betting,83.38,76.65,6.73,156
S0006050,P00268,2024-10-06,Sports Betting,39.57,33.66,5.91,96
S0006051,P00268,2023-11-13,Sports Betting,59.56,52.4,7.16,169
S0006052,P00268,2023-08-02,Sports Betting,178.47,153.89,24.58,49
S0006053,P00268,2024-12-16,Sports Betting,40.28,34.33,5.95,40
S0006054,P00268,2024-05-18,Sports Betting,31.4,32.47,-1.07,92
S0006055,P00268,2024-03-31,Sports Betting,154.36,143.48,10.88,68
S0006056,P00268,2024-07-06,Live Casino,150.91,144.06,6.85,169
S0006057,P00268,2024-02-11,Slots,127.78,115.42,12.36,145
S0006058,P00268,2023-09-09,Sports Betting,75.86,66.51,9.35,71
S0006059,P00268,2024-03-11,Sports Betting,98.93,87.78,11.15,50
S0006060,P00268,2023-12-06,Live Casino,16.95,16.64,0.31,32
S0006061,P00268,2024-02-04,Live Casino,19.23,18.61,0.62,172
S0006062,P00268,2023-10-05,Sports Betting,168.31,172.42,-4.11,148
S0006063,P00268,2024-11-24,Sports Betting,194.74,186.45,8.29,13
S0006064,P00268,2024-09-11,Sports Betting,194.23,181.44,12.79,71
S0006065,P00268,2023-07-19,Sports Betting,193.79,194.96,-1.17,19
S0006066,P00268,2024-08-31,Sports Betting,177.65,172.47,5.18,68
S0006067,P00268,2024-03-22,Live Casino,36.99,36.3,0.69,26
S0006068,P00268,2024-04-01,Sports Betting,77.53,73.96,3.57,145
S0006069,P00268,2024-09-10,Live Casino,146.09,142.82,3.27,133
S0006070,P00268,2024-08-31,Slots,196.5,177.09,19.41,145
S0006071,P00268,2024-04-18,Table Games,63.46,62.49,0.97,79
S0006072,P00268,2023-08-13,Sports Betting,110.68,115.72,-5.04,163
S0006073,P00268,2023-12-30,Sports Betting,63.01,64.49,-1.48,19
S0006074,P00268,2024-03-21,Sports Betting,22.53,20.69,1.84,124
S0006075,P00268,2024-07-19,Sports Betting,190.54,192.71,-2.17,56
S0006076,P00268,2024-03-18,Sports Betting,27.57,28.69,-1.12,100
S0006077,P00268,2023-12-05,Sports Betting,162.68,152.06,10.62,129
S0006078,P00269,2024-03-26,Live Casino,44.02,42.19,1.83,11
S0006079,P00269,2023-12-06,Slots,186.92,178.07,8.85,11
S0006080,P00269,2024-11-07,Live Casino,102.66,98.62,4.04,60
S0006081,P00269,2023-10-06,Slots,101.92,95.61,6.31,92
S0006082,P00269,2024-02-13,Live Casino,165.59,160.0,5.59,57
S0006083,P00269,2023-10-12,Sports Betting,145.22,124.9,20.32,64
S0006084,P00269,2024-10-30,Live Casino,47.29,45.52,1.77,46
S0006085,P00269,2024-10-20,Live Casino,82.13,79.53,2.6,9
S0006086,P00269,2023-12-17,Live Casino,23.17,22.79,0.38,64
S0006087,P00269,2024-01-19,Table Games,27.78,27.48,0.3,43
S0006088,P00269,2024-03-21,Table Games,81.24,78.64,2.6,23
S0006089,P00269,2024-08-01,Live Casino,195.67,186.2,9.47,50
S0006090,P00269,2024-08-25,Live Casino,28.43,27.43,1.0,106
S0006091,P00269,2024-09-21,Live Casino,168.63,161.35,7.28,54
S0006092,P00269,2023-08-14,Table Games,31.41,30.23,1.18,53
S0006093,P00269,2023-07-31,Poker,135.02,127.3,7.72,53
S0006094,P00269,2023-09-25,Table Games,51.2,49.72,1.48,91
S0006095,P00269,2024-09-05,Poker,156.37,148.28,8.09,102
S0006096,P00269,2024-04-15,Live Casino,148.86,145.59,3.27,104
S0006097,P00269,2024-01-02,Live Casino,26.78,26.01,0.77,49
S0006098,P00269,2023-10-15,Live Casino,192.22,188.82,3.4,11
S0006099,P00269,2024-10-17,Live Casino,165.55,158.2,7.35,50
S0006100,P00269,2024-07-29,Table Games,191.48,188.88,2.6,95
S0006101,P00269,2024-04-14,Poker,25.64,24.14,1.5,173
S0006102,P00269,2024-02-08,Table Games,116.18,113.55,2.63,146
S0006103,P00269,2024-07-13,Live Casino,158.09,154.18,3.91,12
S0006104,P00269,2024-06-19,Live Casino,49.74,49.19,0.55,34
S0006105,P00270,2024-08-27,Poker,40.55,39.35,1.2,121
S0006106,P00270,2024-06-06,Table Games,14.1,13.68,0.42,100
S0006107,P00270,2024-07-23,Poker,32.61,31.17,1.44,92
S0006108,P00270,2024-09-01,Sports Betting,48.99,44.34,4.65,18
S0006109,P00270,2024-12-21,Slots,2.77,2.61,0.16,48
S0006110,P00270,2023-11-20,Poker,21.73,21.27,0.46,122
S0006111,P00271,2024-02-28,Poker,12.94,12.5,0.44,124
S0006112,P00272,2024-12-31,Table Games,47.94,47.32,0.62,17
S0006113,P00272,2024-12-25,Table Games,142.66,139.91,2.75,88
S0006114,P00272,2024-12-31,Poker,44.3,42.87,1.43,83
S0006115,P00272,2024-12-30,Table Games,49.77,48.17,1.6,162
S0006116,P00272,2024-12-28,Table Games,199.32,192.95,6.37,115
S0006117,P00272,2024-12-28,Poker,26.4,25.47,0.93,99
S0006118,P00272,2024-12-23,Table Games,46.75,45.55,1.2,54
S0006119,P00272,2024-12-31,Table Games,98.17,94.73,3.44,75
S0006120,P00272,2024-12-25,Table Games,157.73,152.51,5.22,18
S0006121,P00272,2024-12-23,Table Games,25.77,24.88,0.89,81
S0006122,P00272,2024-12-23,Live Casino,47.65,45.81,1.84,180
S0006123,P00272,2024-12-24,Table Games,30.06,29.36,0.7,154
S0006124,P00272,2024-12-31,Table Games,41.75,41.32,0.43,38
S0006125,P00272,2024-12-21,Table Games,109.56,106.0,3.56,5
S0006126,P00272,2024-12-28,Table Games,149.98,144.57,5.41,69
S0006127,P00272,2024-12-23,Table Games,134.85,130.23,4.62,54
S0006128,P00272,2024-12-22,Live Casino,130.03,128.11,1.92,40
S0006129,P00272,2024-12-22,Live Casino,143.88,137.82,6.06,136
S0006130,P00273,2023-08-05,Live Casino,8.72,8.41,0.31,117
S0006131,P00273,2024-01-23,Table Games,22.15,21.56,0.59,159
S0006132,P00273,2024-06-13,Sports Betting,33.61,31.21,2.4,134
S0006133,P00273,2023-06-05,Live Casino,49.29,48.21,1.08,45
S0006134,P00273,2024-10-25,Table Games,36.31,35.59,0.72,18
S0006135,P00273,2024-07-09,Live Casino,46.29,44.49,1.8,51
S0006136,P00273,2024-06-16,Table Games,18.2,17.5,0.7,78
S0006137,P00273,2024-12-06,Live Casino,40.05,39.37,0.68,15
S0006138,P00273,2024-04-07,Table Games,3.88,3.81,0.07,99
S0006139,P00274,2024-09-29,Poker,347.16,327.09,20.07,81
S0006140,P00274,2024-12-26,Poker,77.17,74.0,3.17,19
S0006141,P00274,2024-12-06,Sports Betting,884.4,784.1,100.3,50
S0006142,P00274,2024-09-05,Poker,719.1,691.98,27.12,58
S0006143,P00274,2024-12-24,Poker,64.53,62.5,2.03,117
S0006144,P00274,2024-07-27,Sports Betting,542.59,553.43,-10.84,54
S0006145,P00274,2024-12-20,Slots,449.58,424.21,25.37,5
S0006146,P00274,2024-07-05,Live Casino,413.87,404.26,9.61,113
S0006147,P00274,2024-11-17,Poker,400.6,382.2,18.4,36
S0006148,P00274,2024-09-17,Poker,952.43,907.12,45.31,174
S0006149,P00274,2024-11-25,Sports Betting,260.41,269.65,-9.24,173
S0006150,P00274,2024-10-20,Live Casino,535.89,515.34,20.55,147
S0006151,P00274,2024-10-26,Poker,870.0,834.75,35.25,119
S0006152,P00274,2024-09-05,Poker,76.27,72.06,4.21,141
S0006153,P00274,2024-12-20,Poker,609.59,585.15,24.44,147
S0006154,P00274,2024-10-23,Poker,865.1,825.28,39.82,109
S0006155,P00274,2024-11-01,Live Casino,752.18,723.83,28.35,106
S0006156,P00274,2024-12-19,Slots,603.05,573.13,29.92,149
S0006157,P00274,2024-09-29,Poker,702.94,686.85,16.09,9
S0006158,P00274,2024-11-28,Poker,894.86,871.29,23.57,154
S0006159,P00274,2024-07-28,Poker,559.3,527.46,31.84,66
S0006160,P00274,2024-10-17,Table Games,220.75,213.44,7.31,61
S0006161,P00274,2024-11-15,Poker,111.31,104.91,6.4,106
S0006162,P00274,2024-09-09,Poker,375.35,355.83,19.52,50
S0006163,P00274,2024-08-19,Poker,248.24,238.01,10.23,76
S0006164,P00274,2024-07-18,Poker,58.36,55.93,2.43,9
S0006165,P00274,2024-11-17,Sports Betting,201.09,178.28,22.81,52
S0006166,P00274,2024-12-25,Poker,627.11,595.04,32.07,86
S0006167,P00274,2024-09-26,Table Games,874.22,845.37,28.85,175
S0006168,P00274,2024-10-10,Poker,422.2,402.53,19.67,92
S0006169,P00275,2024-01-30,Slots,189.14,172.27,16.87,99
S0006170,P00275,2024-03-21,Slots,164.91,154.44,10.47,136
S0006171,P00275,2024-06-07,Sports Betting,140.92,134.35,6.57,112
S0006172,P00275,2024-12-23,Slots,116.59,108.71,7.88,150
S0006173,P00275,2024-12-27,Slots,87.7,83.19,4.51,36
S0006174,P00275,2024-06-15,Slots,26.03,24.8,1.23,176
S0006175,P00275,2024-06-22,Poker,92.86,90.37,2.49,93
S0006176,P00275,2024-07-07,Slots,132.0,122.8,9.2,40
S0006177,P00275,2024-06-08,Slots,149.27,142.6,6.67,71
S0006178,P00275,2024-05-20,Slots,17.92,17.35,0.57,37
S0006179,P00275,2024-02-27,Slots,197.7,184.43,13.27,150
S0006180,P00275,2024-11-09,Slots,150.0,136.38,13.62,64
S0006181,P00275,2024-10-18,Slots,123.32,115.97,7.35,29
S0006182,P00275,2024-07-19,Slots,10.74,10.42,0.32,105
S0006183,P00275,2024-11-26,Slots,132.3,127.54,4.76,94
S0006184,P00275,2024-04-23,Slots,83.15,76.31,6.84,118
S0006185,P00275,2024-10-28,Poker,25.25,24.12,1.13,8
S0006186,P00275,2024-01-11,Slots,130.3,119.09,11.21,68
S0006187,P00275,2024-01-30,Live Casino,55.39,54.53,0.86,59
S0006188,P00275,2024-06-20,Slots,182.01,169.14,12.87,117
S0006189,P00276,2024-02-25,Table Games,4.45,4.34,0.11,133
S0006190,P00276,2024-09-04,Live Casino,39.3,37.58,1.72,109
S0006191,P00276,2024-06-30,Live Casino,12.99,12.64,0.35,147
S0006192,P00277,2024-08-17,Sports Betting,48.07,41.86,6.21,152
S0006193,P00277,2024-01-04,Poker,158.94,152.11,6.83,8
S0006194,P00277,2024-11-14,Sports Betting,67.3,68.51,-1.21,107
S0006195,P00277,2023-04-30,Slots,166.42,157.94,8.48,87
S0006196,P00277,2024-09-16,Sports Betting,57.93,50.5,7.43,33
S0006197,P00277,2023-12-12,Sports Betting,189.07,172.06,17.01,141
S0006198,P00277,2023-04-22,Slots,107.87,100.6,7.27,11
S0006199,P00277,2024-12-24,Sports Betting,130.84,136.44,-5.6,49
S0006200,P00277,2024-11-29,Live Casino,187.17,180.96,6.21,32
S0006201,P00277,2023-11-28,Slots,58.27,56.5,1.77,78
S0006202,P00277,2024-08-19,Live Casino,164.18,162.34,1.84,33
S0006203,P00277,2023-02-28,Sports Betting,103.52,106.57,-3.05,108
S0006204,P00277,2024-11-19,Sports Betting,149.28,128.79,20.49,131
S0006205,P00277,2023-08-27,Sports Betting,191.56,193.1,-1.54,66
S0006206,P00277,2024-09-02,Sports Betting,177.1,165.71,11.39,163
S0006207,P00278,2024-10-27,Table Games,101.78,100.68,1.1,35
S0006208,P00278,2024-08-14,Slots,198.86,186.39,12.47,106
S0006209,P00278,2024-06-24,Slots,97.7,91.34,6.36,28
S0006210,P00278,2024-01-14,Slots,199.72,187.93,11.79,53
S0006211,P00278,2024-02-01,Live Casino,75.7,72.39,3.31,159
S0006212,P00278,2024-03-30,Table Games,17.9,17.61,0.29,45
S0006213,P00278,2024-08-30,Slots,44.77,41.83,2.94,67
S0006214,P00279,2024-03-18,Slots,37.58,36.36,1.22,123
S0006215,P00279,2024-11-19,Poker,45.86,43.24,2.62,141
S0006216,P00279,2024-06-07,Slots,3.82,3.47,0.35,96
S0006217,P00279,2024-08-14,Sports Betting,20.54,18.93,1.61,154
S0006218,P00279,2024-04-10,Slots,7.4,6.93,0.47,149
S0006219,P00279,2024-03-08,Slots,32.68,30.83,1.85,121
S0006220,P00280,2024-04-06,Table Games,23.39,23.01,0.38,125
S0006221,P00280,2023-09-20,Table Games,25.43,24.85,0.58,46
S0006222,P00280,2024-10-06,Table Games,19.09,18.89,0.2,75
S0006223,P00280,2024-06-14,Table Games,31.74,30.83,0.91,149
S0006224,P00280,2024-03-13,Table Games,38.92,37.73,1.19,99
S0006225,P00281,2024-11-20,Live Casino,862.97,840.86,22.11,11
S0006226,P00281,2024-04-30,Live Casino,537.67,519.05,18.62,45
S0006227,P00281,2024-11-16,Live Casino,610.51,592.37,18.14,133
S0006228,P00281,2024-09-18,Sports Betting,348.87,313.3,35.57,167
S0006229,P00281,2024-05-15,Poker,558.96,546.17,12.79,92
S0006230,P00281,2024-03-27,Live Casino,964.32,933.59,30.73,140
S0006231,P00281,2024-12-12,Live Casino,750.73,737.54,13.19,90
S0006232,P00281,2024-04-02,Live Casino,69.93,69.18,0.75,63
S0006233,P00281,2024-08-11,Live Casino,154.09,150.21,3.88,124
S0006234,P00281,2024-05-25,Live Casino,865.31,846.75,18.56,29
S0006235,P00281,2024-04-01,Slots,377.81,349.12,28.69,58
S0006236,P00281,2024-07-19,Live Casino,769.79,733.67,36.12,132
S0006237,P00281,2024-12-18,Live Casino,636.0,616.86,19.14,85
S0006238,P00281,2024-06-17,Live Casino,478.22,469.4,8.82,65
S0006239,P00281,2024-01-31,Slots,890.13,845.36,44.77,65
S0006240,P00281,2024-04-01,Poker,364.85,351.44,13.41,112
S0006241,P00281,2024-02-24,Live Casino,69.97,67.54,2.43,105
S0006242,P00281,2024-09-28,Live Casino,665.2,648.21,16.99,22
S0006243,P00281,2024-12-18,Live Casino,358.13,341.91,16.22,143
S0006244,P00281,2024-06-03,Live Casino,416.84,405.3,11.54,166
S0006245,P00282,2024-12-24,Slots,812.4,772.12,40.28,125
S0006246,P00282,2024-12-27,Live Casino,3761.81,3634.69,127.12,125
S0006247,P00282,2024-08-07,Slots,4713.99,4518.18,195.81,154
S0006248,P00282,2024-03-20,Slots,301.12,272.33,28.79,35
S0006249,P00282,2024-10-27,Slots,691.22,623.27,67.95,125
S0006250,P00282,2024-11-04,Slots,830.22,756.53,73.69,144
S0006251,P00282,2024-05-07,Slots,3449.49,3325.0,124.49,34
S0006252,P00282,2024-06-09,Sports Betting,4525.01,3950.22,574.79,100
S0006253,P00282,2024-04-08,Poker,1975.94,1933.82,42.12,8
S0006254,P00282,2024-07-18,Slots,4272.89,4058.62,214.27,62
S0006255,P00282,2024-08-17,Slots,2807.92,2699.35,108.57,174
S0006256,P00282,2024-04-18,Slots,549.54,519.04,30.5,178
S0006257,P00282,2024-12-08,Slots,1278.4,1220.04,58.36,99
S0006258,P00282,2024-08-05,Slots,2161.52,2080.8,80.72,177
S0006259,P00282,2024-10-01,Slots,1690.73,1581.53,109.2,17
S0006260,P00282,2024-10-28,Slots,906.9,825.93,80.97,166
S0006261,P00282,2024-06-04,Slots,1150.55,1072.76,77.79,29
S0006262,P00282,2024-05-07,Slots,1526.59,1471.06,55.53,96
S0006263,P00282,2024-04-11,Slots,1320.28,1252.6,67.68,13
S0006264,P00282,2024-11-10,Slots,3495.86,3228.07,267.79,107
S0006265,P00282,2024-04-16,Slots,3398.15,3085.67,312.48,15
S0006266,P00282,2024-05-26,Slots,769.08,715.64,53.44,127
S0006267,P00282,2024-03-18,Slots,1004.23,941.96,62.27,8
S0006268,P00282,2024-04-28,Slots,4749.21,4496.52,252.69,72
S0006269,P00282,2024-03-05,Slots,571.19,515.15,56.04,47
S0006270,P00282,2024-07-24,Poker,4668.21,4467.21,201.0,100
S0006271,P00282,2024-03-02,Table Games,486.15,478.0,8.15,51
S0006272,P00282,2024-09-30,Sports Betting,4141.21,4233.81,-92.6,18
S0006273,P00282,2024-10-18,Slots,4325.56,4085.04,240.52,80
S0006274,P00282,2024-11-05,Slots,2470.25,2370.0,100.25,22
S0006275,P00282,2024-06-16,Table Games,3620.2,3492.13,128.07,133
S0006276,P00282,2024-07-20,Slots,4923.88,4708.56,215.32,155
S0006277,P00282,2024-03-15,Live Casino,765.63,740.41,25.22,119
S0006278,P00282,2024-04-27,Live Casino,4432.39,4290.13,142.26,121
S0006279,P00282,2024-06-07,Slots,3139.9,3025.23,114.67,51
S0006280,P00282,2024-11-28,Slots,2885.71,2651.83,233.88,51
S0006281,P00282,2024-07-02,Sports Betting,501.45,456.1,45.35,104
S0006282,P00282,2024-09-13,Slots,1067.79,972.22,95.57,158
S0006283,P00282,2024-08-07,Slots,4977.53,4749.65,227.88,5
S0006284,P00282,2024-05-28,Slots,1551.44,1449.04,102.4,106
S0006285,P00282,2024-05-14,Slots,1822.76,1674.36,148.4,55
S0006286,P00282,2024-10-24,Poker,606.73,583.35,23.38,130
S0006287,P00282,2024-08-06,Slots,1638.1,1537.49,100.61,92
S0006288,P00282,2024-07-14,Table Games,4433.15,4342.67,90.48,140
S0006289,P00282,2024-08-20,Slots,2420.43,2286.52,133.91,85
S0006290,P00282,2024-03-31,Slots,3264.44,3066.23,198.21,158
S0006291,P00282,2024-12-22,Slots,319.05,296.31,22.74,117
S0006292,P00282,2024-03-15,Slots,459.79,443.18,16.61,85
S0006293,P00282,2024-02-19,Slots,418.42,389.99,28.43,8
S0006294,P00282,2024-03-11,Slots,2224.19,2098.04,126.15,123
S0006295,P00282,2024-11-27,Sports Betting,3174.31,3051.85,122.46,13
S0006296,P00282,2024-10-21,Slots,4593.46,4398.15,195.31,23
S0006297,P00282,2024-04-05,Slots,809.91,748.01,61.9,108
S0006298,P00282,2024-09-15,Table Games,2773.67,2702.71,70.96,114
S0006299,P00282,2024-07-03,Slots,1536.65,1405.53,131.12,49
S0006300,P00282,2024-08-27,Slots,3751.17,3427.28,323.89,18
S0006301,P00282,2024-05-05,Live Casino,3154.99,3031.47,123.52,66
S0006302,P00282,2024-12-04,Slots,2447.75,2204.41,243.34,52
S0006303,P00282,2024-09-04,Slots,4987.97,4614.17,373.8,143
S0006304,P00282,2024-05-29,Slots,351.31,324.0,27.31,112
S0006305,P00282,2024-09-21,Table Games,4741.4,4577.06,164.34,77
S0006306,P00282,2024-08-26,Slots,4830.7,4446.75,383.95,85
S0006307,P00282,2024-08-14,Slots,1854.23,1727.99,126.24,136
S0006308,P00282,2024-11-22,Slots,1221.36,1134.47,86.89,150
S0006309,P00282,2024-09-25,Slots,3121.95,2972.04,149.91,73
S0006310,P00282,2024-08-20,Slots,4715.37,4498.88,216.49,46
S0006311,P00282,2024-10-22,Table Games,843.21,810.3,32.91,130
S0006312,P00282,2024-02-09,Sports Betting,2785.33,2698.52,86.81,152
S0006313,P00283,2024-10-18,Poker,22.76,21.41,1.35,77
S0006314,P00283,2024-07-28,Live Casino,31.66,31.29,0.37,143
S0006315,P00283,2024-11-05,Table Games,41.44,40.56,0.88,83
S0006316,P00283,2024-10-21,Live Casino,35.51,34.1,1.41,154
S0006317,P00283,2024-12-12,Slots,41.57,37.93,3.64,103
S0006318,P00284,2023-10-12,Table Games,11.57,11.41,0.16,150
S0006319,P00284,2024-05-20,Poker,33.92,32.37,1.55,139
S0006320,P00284,2024-05-01,Poker,27.33,26.45,0.88,133
S0006321,P00284,2024-12-26,Poker,5.21,4.99,0.22,18
S0006322,P00284,2023-12-30,Poker,21.21,20.04,1.17,81
S0006323,P00285,2024-10-20,Live Casino,6.05,5.89,0.16,167
S0006324,P00285,2024-12-17,Table Games,9.43,9.25,0.18,123
S0006325,P00285,2024-12-25,Slots,35.13,33.49,1.64,61
S0006326,P00285,2024-09-22,Live Casino,10.5,10.3,0.2,142
S0006327,P00286,2024-01-28,Live Casino,28.51,27.48,1.03,117
S0006328,P00287,2024-10-18,Live Casino,313.39,299.47,13.92,94
S0006329,P00287,2024-08-25,Live Casino,949.19,915.26,33.93,96
S0006330,P00287,2024-10-31,Live Casino,782.47,765.74,16.73,53
S0006331,P00287,2024-12-21,Sports Betting,335.28,322.54,12.74,130
S0006332,P00287,2024-12-16,Live Casino,98.37,94.55,3.82,109
S0006333,P00287,2024-10-26,Live Casino,996.7,954.02,42.68,98
S0006334,P00287,2024-12-07,Live Casino,450.45,441.52,8.93,109
S0006335,P00287,2024-08-20,Live Casino,918.88,897.89,20.99,121
S0006336,P00287,2024-11-27,Live Casino,277.41,264.93,12.48,59
S0006337,P00287,2024-12-31,Table Games,451.9,442.51,9.39,9
S0006338,P00287,2024-09-20,Live Casino,576.99,555.66,21.33,72
S0006339,P00287,2024-10-08,Live Casino,597.2,574.85,22.35,47
S0006340,P00287,2024-08-15,Live Casino,124.87,121.36,3.51,70
S0006341,P00287,2024-11-18,Live Casino,840.01,822.11,17.9,18
S0006342,P00287,2024-12-25,Sports Betting,589.2,569.85,19.35,173
S0006343,P00287,2024-09-04,Poker,516.92,503.26,13.66,134
S0006344,P00287,2024-09-03,Sports Betting,208.64,203.52,5.12,11
S0006345,P00287,2024-11-23,Live Casino,355.35,350.8,4.55,178
S0006346,P00287,2024-09-06,Poker,299.53,293.34,6.19,56
S0006347,P00287,2024-08-13,Live Casino,929.44,912.06,17.38,146
S0006348,P00287,2024-12-27,Live Casino,934.33,923.87,10.46,37
S0006349,P00287,2024-09-22,Live Casino,538.96,518.89,20.07,46
S0006350,P00287,2024-08-19,Live Casino,806.48,795.81,10.67,169
S0006351,P00287,2024-09-01,Table Games,77.32,76.01,1.31,111
S0006352,P00287,2024-12-24,Live Casino,115.93,111.85,4.08,95
S0006353,P00287,2024-08-12,Table Games,308.55,303.82,4.73,28
S0006354,P00287,2024-12-07,Poker,215.14,206.59,8.55,68
S0006355,P00287,2024-12-27,Live Casino,821.95,802.79,19.16,46
S0006356,P00287,2024-08-21,Live Casino,954.01,925.51,28.5,130
S0006357,P00287,2024-11-26,Live Casino,493.1,486.63,6.47,88
S0006358,P00287,2024-08-25,Live Casino,994.58,953.78,40.8,99
S0006359,P00287,2024-10-07,Live Casino,108.83,105.35,3.48,165
S0006360,P00287,2024-12-27,Slots,278.8,255.03,23.77,123
S0006361,P00287,2024-10-06,Live Casino,755.49,727.51,27.98,52
S0006362,P00287,2024-11-18,Live Casino,881.85,872.31,9.54,30
S0006363,P00287,2024-11-03,Poker,232.27,219.12,13.15,51
S0006364,P00287,2024-08-25,Live Casino,258.22,246.88,11.34,138
S0006365,P00287,2024-08-12,Live Casino,972.77,931.72,41.05,12
S0006366,P00287,2024-09-26,Live Casino,916.61,872.75,43.86,6
S0006367,P00287,2024-11-06,Live Casino,836.48,806.42,30.06,66
S0006368,P00287,2024-10-22,Live Casino,440.32,428.81,11.51,16
S0006369,P00287,2024-08-13,Live Casino,960.8,928.44,32.36,112
S0006370,P00287,2024-08-17,Live Casino,835.57,794.3,41.27,163
S0006371,P00287,2024-09-15,Live Casino,829.98,798.94,31.04,59
S0006372,P00287,2024-09-12,Live Casino,650.87,636.09,14.78,177
S0006373,P00287,2024-09-24,Live Casino,735.43,700.34,35.09,33
S0006374,P00287,2024-12-15,Live Casino,229.87,227.34,2.53,43
S0006375,P00287,2024-11-20,Live Casino,581.82,566.23,15.59,77
S0006376,P00287,2024-11-02,Live Casino,638.77,620.69,18.08,32
S0006377,P00287,2024-10-17,Live Casino,364.87,358.68,6.19,57
S0006378,P00287,2024-09-29,Live Casino,152.91,151.26,1.65,72
S0006379,P00287,2024-11-12,Live Casino,682.93,656.13,26.8,20
S0006380,P00287,2024-12-24,Live Casino,667.45,645.18,22.27,40
S0006381,P00287,2024-10-10,Live Casino,515.62,504.23,11.39,36
S0006382,P00287,2024-08-19,Live Casino,978.39,955.46,22.93,102
S0006383,P00287,2024-11-10,Live Casino,934.3,902.18,32.12,75
S0006384,P00287,2024-10-17,Table Games,76.26,75.35,0.91,83
S0006385,P00287,2024-08-13,Live Casino,216.98,212.79,4.19,113
S0006386,P00287,2024-11-03,Live Casino,326.95,314.45,12.5,66
S0006387,P00287,2024-09-22,Live Casino,713.82,697.16,16.66,70
S0006388,P00287,2024-11-03,Live Casino,706.98,683.2,23.78,126
S0006389,P00287,2024-09-18,Table Games,445.06,439.22,5.84,160
S0006390,P00287,2024-09-17,Live Casino,467.59,454.94,12.65,162
S0006391,P00287,2024-10-08,Live Casino,970.92,930.65,40.27,164
S0006392,P00287,2024-08-23,Live Casino,610.43,582.17,28.26,48
S0006393,P00287,2024-09-28,Live Casino,692.16,662.14,30.02,127
S0006394,P00287,2024-09-30,Sports Betting,798.48,708.17,90.31,56
S0006395,P00287,2024-08-16,Live Casino,377.44,364.85,12.59,31
S0006396,P00288,2024-07-17,Live Casino,546.77,535.51,11.26,26
S0006397,P00288,2024-11-28,Slots,4576.33,4147.51,428.82,130
S0006398,P00288,2024-12-13,Slots,1209.01,1148.35,60.66,149
S0006399,P00288,2024-11-04,Live Casino,1734.81,1671.28,63.53,130
S0006400,P00288,2024-12-27,Slots,3482.45,3336.29,146.16,99
S0006401,P00288,2024-11-11,Slots,1868.54,1752.74,115.8,53
S0006402,P00288,2024-06-25,Slots,4187.45,3950.07,237.38,112
S0006403,P00288,2024-11-16,Live Casino,364.66,356.24,8.42,40
S0006404,P00288,2024-09-29,Slots,321.34,293.21,28.13,44
S0006405,P00288,2024-11-07,Live Casino,4668.88,4487.75,181.13,34
S0006406,P00288,2024-10-14,Slots,3373.05,3186.41,186.64,47
S0006407,P00288,2024-12-07,Slots,1323.92,1239.46,84.46,40
S0006408,P00288,2024-09-13,Slots,3705.81,3491.47,214.34,71
S0006409,P00288,2024-10-26,Slots,3966.62,3721.82,244.8,44
S0006410,P00288,2024-06-27,Slots,3218.32,3048.67,169.65,48
S0006411,P00288,2024-10-07,Slots,4644.5,4305.06,339.44,148
S0006412,P00288,2024-10-08,Slots,4518.79,4357.59,161.2,5
S0006413,P00288,2024-10-22,Slots,1887.8,1753.54,134.26,6
S0006414,P00288,2024-07-30,Slots,1208.16,1143.03,65.13,9
S0006415,P00288,2024-12-17,Table Games,2968.88,2903.38,65.5,61
S0006416,P00288,2024-09-18,Table Games,3828.47,3692.56,135.91,134
S0006417,P00288,2024-09-11,Live Casino,2140.62,2083.84,56.78,119
S0006418,P00288,2024-12-19,Slots,2218.5,2055.61,162.89,89
S0006419,P00288,2024-12-29,Slots,4187.97,3863.83,324.14,82
S0006420,P00288,2024-10-28,Sports Betting,4109.18,3785.68,323.5,89
S0006421,P00288,2024-07-20,Slots,4793.34,4597.82,195.52,34
S0006422,P00288,2024-10-18,Live Casino,1048.61,1005.17,43.44,87
S0006423,P00288,2024-12-16,Live Casino,3024.71,2954.25,70.46,9
S0006424,P00288,2024-07-24,Slots,4127.73,3817.7,310.03,108
S0006425,P00288,2024-12-29,Slots,802.84,724.95,77.89,9
S0006426,P00288,2024-09-12,Slots,1597.45,1549.38,48.07,129
S0006427,P00288,2024-09-13,Slots,1849.76,1712.79,136.97,98
S0006428,P00288,2024-06-22,Poker,4252.71,4062.34,190.37,125
